## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI
766499	periphery	Citreicella sp. 357	Citreicella sp. 357
767029	periphery	Propionibacterium propionicum	Propionibacterium propionicum F0230a
767031	periphery	Prevotella denticola	Prevotella denticola F0289
767434	periphery	Frateuria aurantia	Frateuria aurantia DSM6220
767817	periphery	Desulfotomaculum gibsoniae	Desulfotomaculum gibsoniae DSM7213
768066	periphery	Halomonas elongata	Halomonas elongata DSM2581
768486	periphery	Enterococcus hirae	Enterococcus hirae ATCC9790
768670	periphery	Calditerrivibrio nitroreducens	Calditerrivibrio nitroreducens DSM19672
768671	core	Thiocapsa marina	Thiocapsa marina 5811
768672	periphery	Desulfurococcus fermentans	Desulfurococcus fermentans DSM16532
768679	core	Thermoproteus tenax	Thermoproteus tenax Kra 1
768704	core	Desulfosporosinus meridiei	Desulfosporosinus meridiei DSM13257
768706	core	Desulfosporosinus orientis	Desulfosporosinus orientis DSM765
768710	periphery	Desulfosporosinus youngiae	Desulfosporosinus youngiae DSM17734
768726	periphery	Streptococcus mitis 2 F0392	Streptococcus mitis bv. 2 str. F0392
771875	periphery	Fervidobacterium pennivorans	Fervidobacterium pennivorans DSM9078
794846	periphery	Sinorhizobium sp. CCBAU05631	Sinorhizobium sp. CCBAU 05631
794903	periphery	Opitutaceae bacterium TAV5	Opitutaceae bacterium TAV5
795359	core	Thermodesulfobacterium geofontis	Thermodesulfobacterium geofontis OPF15
795666	periphery	Ralstonia sp. PBA	Ralstonia sp. PBA
795797	periphery	Halalkalicoccus jeotgali	Halalkalicoccus jeotgali B3
795955	periphery	Nesterenkonia sp. F	Nesterenkonia sp. F
796606	core	Bacillus methanolicus MGA3	Bacillus methanolicus MGA3
796620	periphery	Vibrio caribbeanicus	Vibrio caribbeanicus ATCC BAA-2122
796940	periphery	Peptostreptococcaceae bacterium CM5	Peptostreptococcaceae bacterium CM5
796942	core	Stomatobaculum longum	Stomatobaculum longum
796945	periphery	Oribacterium parvum	Oribacterium parvum ACB8
797114	periphery	Halosimplex carlsbadense	Halosimplex carlsbadense 2-9-1
797209	core	Haladaptatus paucihalophilus	Haladaptatus paucihalophilus DX253
797210	periphery	Halopiger xanaduensis	Halopiger xanaduensis SH-6
797299	periphery	Halostagnicola larsenii	Halostagnicola larsenii XH-48
797302	periphery	Halovivax ruber	Halovivax ruber XH-70
797303	periphery	Natrinema pellirubrum	Natrinema pellirubrum DSM15624
797304	periphery	Natronobacterium gregoryi	Natronobacterium gregoryi SP2
797515	periphery	Lactobacillus parafarraginis	Lactobacillus parafarraginis F0439
838561	periphery	Spiroplasma mirum	Spiroplasma mirum ATCC29335
856793	core	Micavibrio aeruginosavorus ARL13	Micavibrio aeruginosavorus ARL-13
857087	periphery	Methylomonas methanica	Methylomonas methanica MC09
857290	periphery	Scardovia wiggsiae	Scardovia wiggsiae F0424
857293	periphery	Caloramator australicus	Caloramator australicus RC3
857571	core	Moraxella catarrhalis	Moraxella catarrhalis O35E
858215	periphery	Thermoanaerobacterium xylanolyticum	Thermoanaerobacterium xylanolyticum LX-11
858619	periphery	Corynebacterium variabile	Corynebacterium variabile DSM44702
859194	periphery	Mycoplasma haemofelis	Mycoplasma haemofelis Ohio2
859653	core	alpha proteobacterium HIMB5	alpha proteobacterium HIMB5
859657	periphery	Ralstonia solanacearum PSI07	Ralstonia solanacearum PSI07
860228	periphery	Capnocytophaga canimorsus	Capnocytophaga canimorsus Cc5
861208	core	Agrobacterium sp. H133	Agrobacterium sp. H13-3
861299	core	Gemmatimonadetes bacterium KBS708	Gemmatimonadetes bacterium KBS708
861360	periphery	Arthrobacter arilaitensis	Arthrobacter arilaitensis Re117
861450	core	Anaeroglobus geminatus	Anaeroglobus geminatus F0357
861452	core	Fusobacterium sp. F0437	Fusobacterium sp. oral taxon 370 str. F0437
861454	periphery	Lachnospiraceae bacterium F0431	Lachnospiraceae bacterium oral taxon 082 str. F0431
861455	periphery	Streptococcus sp. F0407	Streptococcus sp. oral taxon 058 str. F0407
861530	periphery	Staphylococcus sp. AL1	Staphylococcus sp. AL1
862514	core	Pediococcus acidilactici DSM20284	Pediococcus acidilactici DSM20284
